Collection,Registration number,Date,CBL,Latitude,Longitude,Island type,WinterMinTemp,AnnualMinTemp,SummerWetBulbTemp,AnnualWetBulbTemp,SummerMaxTemp,AnnualMaxTemp,AnnualRain,P–PET,aaET,NDVI,CenW,GrowSeasRain,GrowSeasaaET,GrowSeasP–PET,GrowSeasNDVI,CVSeasRain,CVSeasaaET,CVSeasP–PET,CVSeasMaxTemp,CVSeasMinTemp,MinSeasRain,MinSeasaaET,MinSeasP–PET,MinSeasNDVI,Soil nutrient availability,Clay content percentage (0 – 30 cm),Soil bulk density (0 – 30 cm)
Australian Museum,M 3227,21/2/1923,74.09,-11.5,130.3,small island,18.70664597,22.15665627,26.44209671,24.43510246,31.74851418,31.84106827,1672.641235,-203.7830505,1169.90625,4.96393013,658.9415283,1672.641235,1169.90625,-200.4016724,0.413660854,1.083009642,0.256244755,12.04506905,0.026884377,0.109724638,8.080893517,181.78125,-533.994751,1.171818376,1.049999952,10.75072479,1.477203488
South Australian Museum,M7 370,15/12/1923,78.03,-34.9,138.7,Australian mainland,6.726653099,10.42407036,15.71619797,12.50836945,27.16804504,20.68146515,704.3438721,-604.8123169,568.15625,5.099629402,496.8186035,201.3593292,331.375,-708.0643311,0.414409012,0.475509502,0.372349207,1.983517354,0.25793693,0.29884083,79.45276642,94.9375,-450.6669617,1.199424028,1.070000052,22.78495026,1.490723014
Museums and Art Galleries of the Northern Territory,U 7898,15/11/1926,80.55,-35,138.95,Australian mainland,4.738819599,8.1567173,15.10765648,11.84113503,25.92427826,19.46046066,749.8782959,-496.6711731,513.5,5.601379395,713.9475098,156.2746582,258.625,-618.4511108,0.344495058,0.485093874,0.299545178,2.373837166,0.273175558,0.359013498,85.63116455,94.875,-415.7945862,0.789910674,1,17.95952415,1.498715997
South Australian Museum,M2 307,15/1/1927,72.41,-14.05,143.7,Australian mainland,17.35084343,20.76789474,25.45755196,23.4277916,32.85093689,31.41546249,1313.342285,-564.6448975,890.71875,3.763695478,633.2705078,1313.342285,890.71875,-563.7623901,0.31364128,1.15130931,0.174886834,2.800013238,0.054884691,0.123710768,24.67807579,169.84375,-508.2151794,0.792748153,0.100000001,18.78437233,1.60382092
Museums and Art Galleries of the Northern Territory,U 7936,15/7/1927,77.01,-35,138.95,Australian mainland,4.738819599,8.1567173,15.10765648,11.84113503,25.92427826,19.46046066,749.8782959,-496.6711731,513.5,5.601379395,713.9475098,156.2746582,258.625,-618.4511108,0.344495058,0.485093874,0.299545178,2.373837166,0.273175558,0.359013498,85.63116455,94.875,-415.7945862,0.789910674,1,17.95952415,1.498715997
South Australian Museum,M2 313,1/7/1927,99.49,-42,146.5,Tasmania,-1.178874135,1.471609712,9.255224228,5.773091793,15.84919739,10.00041199,1533.727783,899.8099976,598.75,4.972019672,1437.384521,267.9451294,234.9375,-76.9070816,0.436182439,0.248773524,0.500406112,1.217072006,0.46845625,1.639796572,267.9451294,75.5,-76.71559143,1.113579035,1,30,1.100000024
Museums and Art Galleries of the Northern Territory,U 7899,15/8/1927,76.13,-36.6,146.2,Australian mainland,3.243377447,7.938084126,16.08514404,11.8194828,28.9786396,20.77796745,804.8103027,-166.9786072,589.1875,6.080031395,900.1174927,240.1472168,306.3125,-456.6330872,0.436444402,0.298061526,0.408635128,6.728514838,0.320293895,0.512044264,136.1432495,94.9375,-337.6374512,1.132772684,1,29.70237541,1.495003462
Museums and Art Galleries of the Northern Territory,U 7931,15/11/1927,78.34,-35,138.95,Australian mainland,4.738819599,8.1567173,15.10765648,11.84113503,25.92427826,19.46046066,749.8782959,-496.6711731,513.5,5.601379395,713.9475098,156.2746582,258.625,-618.4511108,0.344495058,0.485093874,0.299545178,2.373837166,0.273175558,0.359013498,85.63116455,94.875,-415.7945862,0.789910674,1,17.95952415,1.498715997
Museums and Art Galleries of the Northern Territory,U 7913,15/2/1928,84.48,-37.4,140.35,Australian mainland,5.906711102,8.763131142,15.27285385,12.5639534,24.95464897,19.47721481,696.5011597,-341.037323,609.625,6.053066254,937.4850464,151.1335297,326.25,-484.5327148,0.412574321,0.49763474,0.405160677,2.968210496,0.228313709,0.274349558,80.88911438,96.125,-333.7500916,1.065165758,1,31.78075027,1.335406542
South Australian Museum,M2 352,1/7/1928,89.13,-38.25,141.55,Australian mainland,6.195105553,8.780516624,14.77566719,12.13217735,21.63847923,17.62741661,814.3934937,-170.443924,722.65625,6.605449677,1017.393982,157.4015656,338.40625,-330.0253601,0.524837255,0.383244705,0.483313548,5.35363196,0.190707415,0.251170809,114.5271301,88.625,-272.4687195,1.571998715,1.549999952,27.08932495,1.364938259
